reference,city,content,city_link
Peace.19850927_page_1.txt,Oshakati,"namibians are not
brainwashed

| weep for my country,
which has been conquered by
force, and in which oppression and
immorality reigns supreme. the
country in which people have lost
their human dignity, the country
where we are nov treated like
foreigners ...

if anyone enjoys a bit of luck or
finds himself a little better off, im-
mediately his heart grows hard. in
our time people who think only of
themselves are wicked.

no one knows my despair, save
he who knows ail, but my heart is
in a perpetual state of anguish.

our oppressors should know
that namibians are not brain-
washed and we will never be blind-
folded. justbecause we smile and
smile, and happiness is our coat,
they think we are gateposts, numb
to the stab of pain.

just because of the laughter on-

our lips and our eyes lowered in
respect, you think we are like

stones.

this is our fatherland which has
been pillaged by foreign con-
querors who have exploited and
grown rich on the spoils of our
nation.

itis time to abolish apartheid. let
our brothers in south africa enjoy
peace, equality, freedom and
justice.

let the world know our problems,
and let us share our problems with
them. let us demand the im-
plementation of resolution 435, so
that victory for namibia will be
achieved.

paulus noa
oshakati
",Oshakati
Peace.19850927b_page_1.txt,Windhoek,"progressives should
combine forces

! would like to congratulate
the staff of the namibian on their
success. keep it up.

secondly, | would tike to ex-
press my views with regard tothe
political situationin our country.

namibia has become a politi-
cal object of the international im-
perialists, and itis essential that
we get rid of them.

consider mysett a progressive
and would like to encourage the
progressives in this country to
maintain and tighten the existing
cooperation among us, which
will lead to political unity.

we have a common identity
and common problems which we
can only solve when we are polit-
leafly united.

let us stop demanding minor
reforms like open hotels and
bers, and instead strive for total

and national indepen-
dence of the namibian people.

let us also distance ourselves
trom our various political ideol-

ogles. wecan pursue these after
independence.

the south african govern-
ment has embarked on a strate-
gy of political intolerance and the
suppression of any opposition
from progressives. in order to
counter this, we have to combine
forces so that they give the
government to the peopte.

let us unite in order to force
south africa to relinquish her
colonial positionin namibia. our
compatriots in south africa have
setusan example, andthe ques-
tion for us is ‘where is our udf,
and who are the boesaks and tu-
tus of namibia?’.

the time has come for us to
complete the circte in our strug-
gle against imperialism, tribal-
ism and colonialism.

we must not wait for anyone to
come to our ald. we must not be
demoralised by the mpc who
clalm to bring about peace and
national reconciliation. we have

seen how members of koevoet
beat up our people in katutura
and how mr dawid bezuldenhout
called for the continued deten-
tlon of josef katofa. all these
deeds confirm the intention of
the mpc which is to silence
everyone who disagrees with
them.

my assessment is that the mpc
is the ‘strong arm’ of south afri-
ca, used to further its colonialin-
terests in namibia. the members
of the mpc do not represent the
namibians but only their coloni-
al masijars.

people of namibia, let us stand
up and show them we do not
need a further hijacking of our
freedom.

we have many peacetul ways
at our disposal by means of
which we can fight against the
system. let us rally oursetvesbe-
hind our leaders to achieve the
freedom of this country, let us
fight for peace, justice and anon-
exploitative society.

hafeni hossian mathew
windhoek
",Windhoek
Peace.19851018_page_1.txt,Walvis Bay Windhoek,"sa encourages division among us

firstly, | would like to con-
gratulate the local journalists who
are trying to bring news to the coun-
try as a whole, in the form of news,
and not one-sided propaganda. but
we must allow readers to express their
opinions in the people’s paper.

asa namibian i would like to refer
to certain aspects as far as the situa-

bs

agotaly, | would li
my views or scaolaaeierentsite

fojt} sunt

i am wore as
movementse@d apartheid in
namibia. freedom movements bre
divided and try andy : ‘

tics

another.

200, 0101 mmmos

tion here is concerned.

we have seen in the past that
progressive forces have been fighting
for our rights which have been, and
still are, denied to us.

we want to show the people of
namibia and the world at large that
the south african government is en-
couraging division and separation

: mew government, but the

ou +1010 08 tors
dac “people in alyis ba
ae e hotels and they

may not stay in town. so the new

-90) 0.051 oulo nave any-

thing gto do with walvis bay ornorth-
—

among us. certain people, because
of alove of money, did not realise this
and they wanted certain patriotic or-
ganisations to be banned.

the question is whether they have
seen a change in namibia. we want
to show that our people are fighting
for equal rights, justice, peace and

twne han

that one idolack is totally wrong. we
tthecoitie one nation, one people
ome o a ty.

meth arrone-pey government
in namibia. i am not a member of
any organisation and! will only take

ded there is
only one freedom movement and no

e9asoe on

alvis

prosperity in the region where we can
come together and live as one.

peace in the region will only be
achieved when neighbouring coun-
tries do not attack one another, and
the rights of people are considered,
with reference to self-determination
and national aspirations.

we the namibians, reject the use
of our country as a base and buffer

against neighbouring, peaceloving
countnies.

we also appeal to those inthe tin-
tenpalast to note the activities of un-
ita, who claim ‘red’ involvement in
the region. we are aware that they are
not a threat to our peace.

appeal to all namibians to realise
and make themselves aware of who
is fooling whom, and to support the
immediate implementation of un
resolution 435.

mwalimu shikongo
windhoek
",Walvis Bay
Peace.19851122_page_1.txt,Katima Mulilo,"call not to blame those“

who suffer for freedom

allow me to answer and ask
some questions regarding a letter in
the namibian of november 7. |
would like to appeal to fellow capriv-
ians to unite and settle their differ-
ences peacefully and then identify
the enemy.

the colonisers create a situation
where we are divided among our-
selves. to them this is an advantage.
itis the cancer of tribalism that is be-
ing practiced by our leaders that has
blinded all caprivians so that they
have failed to recognise developmen-
tal needs in the caprivi.

please stop regarding your
brothers as subia or mafwe - that is
promoting colonialism in the
country.

please stop the false accusations
against mr muyongo. whether you
are subia or mafwe, the udp is for
peace, unity and freedom.

if you remain in canu you will be
in the opposition party until death
and the majority will set up a
democratic government if needs be.

_youalso challenged mr m uyongo
iiremiemmmmeme

to tell the world where mr simbwae
is. you know that both were nation-
alists and that mr simbwae was here
in 1973. by that time mr muyongo
was in zambia. how can mr muyon-
go, who was in zambia, know the
whereabouts of a man who disap-
peared in caprivi?

chief moraliswani and mr
ngambela kalundu and mr m mu-
jiwa know what happened to him.
ask them.

don’t blame somebody who
guffered for your freedom. when
you are in a war, you win or you lose,
you live or you die mr muyongo and
his supporters did not come into
caprivi and recruit schoolchildren at
gunpoint.

mr muyongo is a politician who

“has the support of over 86 percent of

the people. the situation and de-
velopment in capriviis deteriorating
because oftribalism. |

admel
katima mulilo
",Katima Mulilo
Peace.19851129a_page_1.txt,,"a vast
distinction

i criticise and seriously con-
demn the attitude of some caprivi-
ans towards their fellow citizens. the
namibian newspaper is not there for
criticising fellow citizens. if youdon’t
have something relevant to be pub-
lished, don’t waste the paper you're
writing on.

it would be better for caprivians
to concentrate and improve the ad-
ministration in the area. weall want
independence, but people who
betray and condemn will never give
us independence.

we must live in peace so that the
lord will give us better ways in which
to solve our problems and which will
lead us to independence.

at present caprivi is separated in
two sections. what causes this? in
the first place, tribal politics, in the
second place, lack of foresight andin
the third, money.

we say whites discriminate against
us, this is true if we associate with
their customs. we discriminate

tribalism.

against ourselves by adopting —

last laugh

i

katimamulilo

",
Peace.19851129b_page_1.txt,Oshakati,"unrest has

since the installation of the ille-
gal and non-supported interim
government, unrest has becn increas-
ing in namibia.

on the first day of its establish-
ment, the people of namibia were
shown how they were going to be
treated. peace-loving namibians
were beaten and teargassed that day.
since then people have been detained
without trialand thosein rural areas
have been having sleepless nights be-
cause of intimidation.

[have personally seen how people
are intimidated, and then command-
ed not to report the matter. the per-
petrators of the intimidation claim
they can do what they want because
the people are ‘swapo supporters’.
some of the armed men pretend to be
swapo insurgents when they rob and

increase
1 d
frighten the people.

all these things have been taking
place since the interim government
came into being.

if the intertm government was es-
tablished to bring peace and order
and move the country towards in-
dependence, why don’t they imple-
ment resolution 435. we know
however, that the aim is to delay the
independence of namibia.

we sul want the implementation
of resolution 435. away with ideas
of delaying our independence. do
not link our independence to the
presence of cubans in angola. an-
gola is an independent country and
we don’t see cubans inynamibia.

kalompo
oshakati «°°

",Oshakati
Peace.19851206_page_1.txt,,"us scrambles
for africa

ibelievein jimmy cliff's song,
which says ‘meeting in africa’.

lam referring to today’s news me-
dia in which president ronald rea-
gan and his secretary of state, mr
george schultz, revealed they back
and support the rebels, as south
africahas confirmed that tt supports
renamo with food and ammunition,
in order to stage a coup on the freti-
mo and mpla governments.

[n the face of the world, ronald
and george have declared war on the
government of angola by support-
ing unita, a rebel movement. is this
not another afghanistan-type crisis?

hardly a week before the meeting
between gorbachev and reagan in
geneva, reagan openly challenged
gorbachev with his support for
unita.

the military position of the
americans and its star wars defence
programme clearly ignores the im-
portance of the third world.

were the talks between the ussr
and the usa leading to armaged-
don, which inthis case is angola? [f
the angolan government calls upon
russia for support, who can blame
them, but the cowboy administration
in washington?

ronald and george's administra-
tion is going to support unita
through the south african defence
force, which is already doing that.

i would liketo inform both reagan
and schultz that they have acted con-

trary tothe interests of world peace,
and that they are also violating hu-
man rights,

america, are you scrambling for
positions in africa? are you soem-
barrassed by the prospect of world
sanctionsagainst your protege south
africa? ae

ozymandias -_
katimamulilo)

\
lo iy i|
wyo / tl ft of
",
Peace.19851220a_page_1.txt,,"disunity is the cause of balkanis~z:on

por how much longer can we live
under south african colonialism
which isa ‘crime against humanity?’
namibia is the inheritance of
-""namibians, and we are namibians
and not south africans.
_ the south african government
has failed to fulfill its promises to
build namibia and to give it back to
_thelegitimatecitizens of thecountry.
they took namibia and then devis-
edanideology among the namibian
community: let us divide them and
rule them because they are slow

7 i want to remind namibians that

tl te je -

we are one, and that we should not
allow ourselves to be divided by a
foreign force.

the ideology of divide and rule is
created to bring about misunderstan-
dings, disunity, hostility and all kinds
of evil among the black people.

namibians let us stand up for
peace, justice and equal rights. do
not fear, because fear is betrayal. our
struggleisa just struggle. the work-
ing men of all progressive and peace-
loving countries are behind us. as
long as we remain disunited, so we
will remain balkanised, both
regionally and territorially.

if we turn our backs on the pro-
blems facing our society, who is go-
ing to blot out these evil and diabolic
things perpetrated against
namibians?

it isself evident that south africa
considers that the black people of
namibia should be used and not
respected. the multi-party con-
ference was created to delay the in-
dependence of our country, today
this group claims to stand for ‘good-
will and reconciliation’ and claim
they have committed themselves to
human rights.

the question is, what happened

—_

on june 17 this year? was it not the
mpc who sent koevoet in against
their own people? the mpc leaders
are not fighting for the independence
of this country. they are fighting for
their own benefit.

today our people are losing their
lives in the north. where are the
mpc? our people are being detain-
ed without trial. where is mr
kozonguizi, the minister of justice?

the mpc are not serious about
the independence of namibia. they
also know they donot have the man-
date of the namibian people. they

«ge
ab 2° ,

",
Peace.19851220b_page_1.txt,,"christmas messages from churches

bishop james kauluma of the
anglican church has called upon in-
dividuals in both church and socte-
ty to pray that the ‘ongoing destruc-
tive war be brought to an end, and
that peace, justice and unity be
restored toour divided people and ta
our couunlty
fa his christmas message, the
bishop added that although during
the past (wo years some areas of the
country had good rains, “we must stl
unite unceasing prayer for ran so
tiiadt our lands may produce enough
food and that we may be saved trem
the tragedy of hunger and drought,
the bishop added that christmas
‘revived our own longing tor endur-
ing peace amony our people and im
our war-forn commudies
“we mustalso remember to thank
god for all the good things he has
’ done for us and tor his protecuion in

the midst of all the dangers of war.
we thank him for the growth and
courage he has given to his church
against the forces of evil which con-

bishop kauluma

tame fodestroy human lives and the
vood natural resources of our coun-
try. pray that this dangerous situa-
hon mas be brought to an end’,

in his christmas message, dr
abisat shejavali, general secretary
of the council of churches in
namubia, he hoped the year 1986
would be the vear which will ‘get us
our freedom and establish justice in
this country’.

‘in his love god ts always on the
move to serve, to accept and to be
with that which he liberated from
sin. butthe problemis with the man,
who estranged himscit i. sod.
our society, with a lol of racism,
apartheid, discrimination, killings
and perpetrual «slavery, indicates
clearly that it has estranged itself
from god, but the message of
christmas ts that god ts jesus, mean-
ing god wants to save us. the truth
isthe one who has been saved from
his her sinsinvests in forgiven lifein
working for justice against injustice,
peace avdinst war.

",
Peace.19860117_page_1.txt,Ondangwa Windhoek,"namibians for freedom

1 read your newspaper with
great interest. it is good to see that
your staff take the problems of our
country to heart and that you report
on it. ] therefore feel free to come to
you with a great worry in my heart.

the past weeks ] have heard over
the radio that there are problems in
swapo. there seems to be tribalism
and disunity because of people who
want lo participate in the peace talks.

it is not good for a strong
organisation like swapotoimprison
people who want to talk. swapo are
losing a lot of support by that kind
of acuon. let the people come and
taik. who don’t want to bea part of
swapo anymore. swapo will not lose

but will only come out better and it
will show a just organisation.

j] feel that it is time to stand
together and show the world that
namibians want feal freedom. we
must cast out the people who don't
want the same as us.

i feel it is time for our leaders to
come to namibia so the people can
see them again, because only a few
know them anymore. this will make
the people strong again.

let us not listen to the stories
anymore. letus make our promises
good.

f inyondo
ondangwa

write to the namibian
at p o box 20783 windhoek 9000

pp a es pet
",Windhoek
