"nodegoat ID",Content_v1
ngQX0I485RHY8RHIdSJ29ZXhUQpFgYdJFRIa8UXI,"Namibians are not
brainwashed

| WEEP FOR MY COUNTRY,
which has been conquered by
force, and in which oppression and
immorality reigns supreme. The
country in which people have lost
their human dignity, the country
where we are nov treated like
foreigners ...

if anyone enjoys a bit of luck or
finds himself a little better off, im-
mediately his heart grows hard. In
our time people who think only of
themselves are wicked.

No one knows my despair, save
He who knows ail, but my heart is
in a perpetual state of anguish.

Our oppressors should know
that Namibians are not brain-
washed and we will never be blind-
folded. Justbecause we smile and
smile, and happiness is our coat,
they think we are gateposts, numb
to the stab of pain.

Just because of the laughter on-

our lips and our eyes lowered in
respect, you think we are like

stones.

This is our fatherland which has
been pillaged by foreign con-
querors who have exploited and
grown rich on the spoils of our
nation.

Itis time to abolish apartheid. Let
our brothers in South Africa enjoy
peace, equality, freedom and
justice.

Let the world know our problems,
and let us share our problems with
them. Let us demand the im-
plementation of Resolution 435, so
that victory for Namibia will be
achieved.

PAULUS NOA
OSHAKATI"
ngRY0p586SoZcSIJeSK36AYEVCKF0ZeEGRZbcVYV,"Progressives should
combine forces

! WOULD LIKE to congratulate
the staff of The Namibian on their
success. Keep it up.

Secondly, | would tike to ex-
press my views with regard tothe
political situationin our country.

Namibia has become a politi-
cal object of the international im-
perialists, and itis essential that
we get rid of them.

consider mysett a progressive
and would like to encourage the
progressives in this country to
maintain and tighten the existing
cooperation among us, which
will lead to political unity.

We have a common identity
and common problems which we
Can only solve when we are polit-
leafly united.

Let us stop demanding minor
reforms like open hotels and
bers, and instead strive for total

and national Indepen-
dence of the Namibian people.

Let us also distance ourselves
trom our various political ideol-

ogles. Wecan pursue these after
Independence.

The South African Govern-
ment has embarked on a strate-
gy Of political intolerance and the
suppression of any opposition
from progressives. In order to
counter this, we have to combine
forces so that they give the
government to the peopte.

Let us unite in order to force
South Africa to relinquish her
colonial positionin Namibia. Our
compatriots in South Africa have
setusan example, andthe ques-
tion for us is ‘where is our UDF,
and who are the Boesaks and Tu-
tus of Namibia?’.

The time has come for us to
complete the circte in our strug-
gle against imperialism, tribal-
ism and colonialism.

We must not wait for anyone to
come to our ald. We must not be
demoralised by the MPC who
clalm to bring about peace and
national reconciliation. We have

seen how members of Koevoet
beat up our people in Katutura
and how Mr Dawid Bezuldenhout
called for the continued deten-
tlon of Josef Katofa. All these
deeds confirm the intention of
the MPC which is to silence
everyone who disagrees with
them.

My assessment is that the MPC
is the ‘strong arm’ of South Afri-
ca, used to further its colonialin-
terests in Namibia. The members
of the MPC do not represent the
Namibians but only their coloni-
al masijars.

People of Namibia, let us stand
up and show them we do not
need a further hijacking of our
freedom.

We have many peacetul ways
at our disposal by means of
which we can fight against the
system. Let us rally oursetvesbe-
hind our leaders to achieve the
freedom of this country, Let us
fight for peace, justice and anon-
exploitative society.

HAFENI HOSSIAN MATHEW
WINDHOEK"
ngSZ0m687TpAfTJWfUB41BZFWDLG0AfFHS6c6WZq,"SA encourages division among us

FIRSTLY, | WOULD like to con-
gratulate the local journalists who
are trying to bring news to the coun-
try as a whole, in the form of news,
and not one-sided propaganda. But
we must allow readers to express their
opinions in the people’s paper.

Asa Namibian I would like to refer
to certain aspects as far as the situa-

BS

agotaly, | would Li
my views Or Scaolaaeierentsite

fojt} Sunt

I am wore as
movementse@d apartheid in
Namibia. Freedom movements Bre
divided and try andy : ‘

tics

another.

200, 0101 mmmos

tion here is concerned.

We have seen in the past that
progressive forces have been fighting
for our rights which have been, and
still are, denied to us.

We want to show the people of
Namibia and the world at large that
the South African Government is en-
couraging division and separation

: Mew government, but the

ou +1010 08 TORS
Dac “people in alyis Ba
ae e hotels and they

May not stay in town. So the new

-90) 0.051 OULO Nave any-

thing gto do with Walvis Bay ornorth-
—

among us. Certain people, because
of alove of money, did not realise this
and they wanted certain patriotic or-
ganisations to be banned.

The question is whether they have
seen a change in Namibia. We want
to show that our people are fighting
for equal rights, justice, peace and

TWNe Han

that one idolack is totally wrong. We
TTHeCoitie one nation, one people
ome O a ty.

Meth ARrOne-pey government
in Namibia. I am not a member of
any organisation and! will only take

ded there is
only one freedom movement and no

e9asoe on

ALVIS

prosperity in the region where we can
come together and live as one.

Peace in the region will only be
achieved when neighbouring coun-
tries do not attack one another, and
the rights of people are considered,
with reference to self-determination
and national aspirations.

We the Namibians, reject the use
of our country as a base and buffer

against neighbouring, peaceloving
countnies.

We also appeal to those inthe Tin-
tenpalast to note the activities of Un-
ita, who claim ‘Red’ involvement in
the region. We are aware that they are
not a threat to our peace.

appeal to all Namibians to realise
and make themselves aware of who
is fooling whom, and to support the
immediate implementation of UN
Resolution 435.

MWALIMU SHIKONGO
WINDHOEK"
ngTA0L788TAB1UKLgVC52CAGXTMIjBgMITBd1XAL,"Call not to blame those“

who suffer for freedom

ALLOW ME TO answer and ask
some questions regarding a letter in
The Namibian of November 7. |
would like to appeal to fellow Capriv-
ians to unite and settle their differ-
ences peacefully and then identify
the enemy.

The colonisers create a situation
where we are divided among our-
selves. To them this is an advantage.
Itis the cancer of tribalism that is be-
ing practiced by our leaders that has
blinded all Caprivians so that they
have failed to recognise developmen-
tal needs in the Caprivi.

Please stop regarding your
brothers as Subia or Mafwe - that is
Promoting colonialism in the
country.

Please stop the false accusations
against Mr Muyongo. Whether you
are Subia or Mafwe, the UDP is for
peace, unity and freedom.

If you remain in Canu you will be
in the opposition party until death
and the majority will set up a
democratic government if needs be.

_Youalso challenged Mr M uyongo
iiremiemmmmeme

to tell the world where Mr Simbwae
is. You know that both were nation-
alists and that Mr Simbwae was here
in 1973. By that time Mr Muyongo
was in Zambia. How can Mr Muyon-
go, who was in Zambia, know the
whereabouts of a man who disap-
peared in Caprivi?

Chief Moraliswani and Mr
Ngambela Kalundu and Mr M Mu-
jiwa know what happened to him.
Ask them.

Don’t blame somebody who
guffered for your freedom. When
you are in a war, you win or you lose,
you live or you die Mr Muyongo and
his supporters did not come into
Caprivi and recruit schoolchildren at
gunpoint.

Mr Muyongo is a politician who

“has the support of over 86 percent of

the people. The situation and de-
velopment in Capriviis deteriorating
because oftribalism. |

ADMEL
KATIMA MULILO"
ngUB0M889ULC2VLMhUN62DBDYUtJkChNJUMe2YBM,"A vast
distinction

I CRITICISE and seriously con-
demn the attitude of some Caprivi-
ans towards their fellow citizens. The
Namibian newspaper is not there for
criticising fellow citizens. If youdon’t
have something relevant to be pub-
lished, don’t waste the paper you're
Writing on.

It would be better for Caprivians
to concentrate and improve the Ad-
ministration in the area. Weall want
independence, but people who
betray and condemn will never give
us independence.

We must live in peace so that the
Lord will give us better ways in which
to solve our problems and which will
lead us to independence.

At present Caprivi is separated in
two sections. What causes this? In
the first place, tribal politics, in the
second place, lack of foresight andin
the third, money.

We say whites discriminate against
us, This is true if we associate with
their customs. We discriminate

tribalism.

against ourselves by adopting —

LAST LAUGH

i

KATIMAMULILO"
ngVC0D980WCD2WMZiWO7gECIZGOJ0DiEKW9f9ZCZ,"Unrest has

SINCE THE installation of the ille-
gal and non-supported interim
government, unrest has becn increas-
ing in Namibia.

On the first day of its establish-
ment, the people of Namibia were
shown how they were going to be
treated. Peace-loving Namibians
were beaten and teargassed that day.
Since then people have been detained
without trialand thosein rural areas
have been having sleepless nights be-
cause of intimidation.

[have personally seen how people
are intimidated, and then command-
ed not to report the matter. The per-
petrators of the intimidation claim
they can do what they want because
the people are ‘Swapo supporters’.
Some of the armed men pretend to be
Swapo insurgents when they rob and

increase
1 d
frighten the people.

All these things have been taking
place since the interim government
came into being.

If the intertm government was es-
tablished to bring peace and order
and move the country towards in-
dependence, why don’t they imple-
ment Resolution 435. We know
however, that the aim is to delay the
independence of Namibia.

We sul want the implementation
of Resolution 435. Away with ideas
of delaying our independence. Do
not link our independence to the
presence of Cubans in Angola. An-
gola is an independent country and
we don’t see Cubans inyNamibia.

KALOMPO
OSHAKATI «°°"
ngWD1A081XDE2XNOjWv80FDBAHPK0EjFLXughADS,"US scrambles
for Africa

IBELIEVEIN Jimmy Cliff's song,
which says ‘Meeting in Africa’.

lam referring to today’s news me-
dia in which President Ronald Rea-
gan and his Secretary of State, Mr
George Schultz, revealed they back
and support the rebels, as South
Africahas confirmed that tt supports
Renamo with food and ammunition,
in order to stage a coup on the Freti-
mo and MPLA Governments.

[n the face of the world, Ronald
and George have declared war on the
Government of Angola by support-
ing Unita, a rebel movement. Is this
not another Afghanistan-type crisis?

Hardly a week before the meeting
between Gorbachev and Reagan in
Geneva, Reagan openly challenged
Gorbachev with his support for
Unita.

The military position of the
Americans and its Star Wars defence
programme clearly ignores the im-
portance of the Third World.

Were the talks between the USSR
and the USA leading to Armaged-
don, which inthis case is Angola? [f
the Angolan Government calls upon
Russia for support, who can blame
them, but the cowboy administration
in Washington?

Ronald and George's administra-
tion is going to support Unita
through the South African Defence
Force, which is already doing that.

I would liketo inform both Reagan
and Schultz that they have acted con-

trary tothe interests of world peace,
and that they are also violating hu-
man rights,

America, are you scrambling for
positions in Africa? Are you soem-
barrassed by the prospect of world
sanctionsagainst your protege South
Africa? ae

OZYMANDIAS -_
KATIMAMULILO)

\
lo iy i|
Wyo / tl ft of"
ngXE1n182YkF1YOJkXG95GECBIQL4FkoMYPh3BEP,"Disunity is the cause of balkanis~z:on

POR HOW much longer can we live
under South African colonialism
which isa ‘crime against humanity?’
Namibia is the inheritance of
-""Namibians, and we are Namibians
and not South Africans.
_ The South African Government
has failed to fulfill its promises to
build Namibia and to give it back to
_thelegitimatecitizens of thecountry.
They took Namibia and then devis-
edanideology among the Namibian
community: let us divide them and
rule them because they are slow

7 I want to remind Namibians that

tl te je -

we are one, and that we should not
allow ourselves to be divided by a
foreign force.

The ideology of divide and rule is
created to bring about misunderstan-
dings, disunity, hostility and all kinds
of evil among the black people.

Namibians let us stand up for
peace, justice and equal rights. Do
not fear, because fear is betrayal. Our
Struggleisa just struggle. The work-
ing men of all progressive and peace-
loving countries are behind us. As
long as we remain disunited, so we
will remain balkanised, both
regionally and territorially.

If we turn our backs on the pro-
blems facing our society, who is go-
ing to blot out these evil and diabolic
things perpetrated against
Namibians?

It isself evident that South Africa
considers that the black people of
Namibia should be used and not
respected. The Multi-Party Con-
ference was created to delay the in-
dependence of our country, Today
this group claims to stand for ‘good-
will and reconciliation’ and claim
they have committed themselves to
human rights.

The question is, what happened

—_

on June 17 this year? Was it not the
MPC who sent Koevoet in against
their own people? The MPC leaders
are not fighting for the independence
of this country. They are fighting for
their own benefit.

Today our people are losing their
lives in the north. Where are the
MPC? Our people are being detain-
ed without trial. Where is Mr
Kozonguizi, the Minister of Justice?

The MPC are not serious about
the independence of Namibia. They
also know they donot have the man-
date of the Namibian people. They

«ge
ab 2° ,"
ngYF1K283ZlG4ZPwlZ30iHFtCJRM4GlpNZwi7CFo,"Christmas messages from churches

BISHOP JAMES Kauluma of the
Anglican Church has called upon in-
dividuals in both church and socte-
ty to pray that the ‘ongoing destruc-
tive war be brought to an end, and
that peace, justice and unity be
restored toour divided people and ta
our coUunLTY
fa his Christmas message, the
Bishop added that although during
the past (wo years some areas Of the
country had good rains, “we must stl
unite unceasing prayer fOr ran so
tiiadt Our lands may produce enough
food and that we may be saved trem
the tragedy of hunger and drought,
The Bishop added that Christmas
‘revived our own longing tor endur-
Ing peace amony our people and im
Our War-forn COMMUDIES
“We mustalso remember to thank
God for all the good things He has
’ done for us and tor His protecuion in

the midst of all the dangers of war.
We thank him for the growth and
courage he has given to His Church
against the forces of evil which con-

Bishop Kauluma

tame fodestroy human lives and the
vood natural resources of our coun-
try. Pray that this dangerous situa-
hon mas be brought to an end’,

IN HIS CHRISTMAS message, Dr
Abisat Shejavali, General Secretary
of the Council of Churches in
Namubia, he hoped the year 1986
would be the vear which will ‘get us
our freedom and establish justice in
this country’.

‘In his love God ts always on the
move to serve, to accept and to be
with that which He liberated from
sin. Butthe problemis with the man,
who estranged himscit i. sod.
Our society, with a lol of racism,
apartheid, discrimination, killings
and perpetrual «slavery, indicates
clearly that it has estranged itself
from God, but the message of
Christmas ts that God ts Jesus, mean-
Ing God wants to save us. The truth
isthe one who has been saved from
his her sinsinvests in forgiven lifein
working for justice against injustice,
peace avdinst war."
ngZG1R384AGH5AQLmZ41jIGEDKSNkHmIOAxj5DGZ,"Namibians for freedom

1 READ YOUR newspaper with
great interest. It is good to see that
your staff take the problems of our
country to heart and that you report
on it. ] therefore feel free to come to
you with a great worry in my heart.

The past weeks ] have heard over
the radio that there are problems in
Swapo. There seems to be tribalism
and disunity because of people who
want lo participate in the peace talks.

It is not good for a strong
organisation like Swapotoimprison
people who want to talk. Swapo are
losing a lot of support by that kind
Of acuon. Let the people come and
taik. who don’t want to bea part of
Swapo anymore. Swapo will not lose

but will only come out better and it
will show a just organisation.

J] feel that it is time to stand
together and show the world that
Namibians want feal freedom. We
must cast out the people who don't
want the same as us.

I feel it is time for our leaders to
come to Namibia so the people can
see them again, because only a few
know them anymore. This will make
the people strong again.

Let us not listen to the stories
anymore. Letus make our promises
good.

F INYONDO
ONDANGWA

WRITE TO THE NAMIBIAN
at P O Box 20783 Windhoek 9000

PP a eS pet"
