id,date,theme,name,page_id,content_v2,potential_heading,potential_note
19850927,19850927,peace,Peace.19850927_page_1.txt,1,"sud
fd i i calif!
Ly il
: Mi i
U8,

t ie ; rothers
in
+ equality

: Oe be
, rs i ver :

. aa

ha ot
ll mM

yy
aa tes
iesicaat
isaes","U8,",l mMyyaa tesiesicaatisae
19850927b,19850927,peace,Peace.19850927b_page_1.txt,1,"set us anexample, andthe ques-
tion for us is ‘where is dur UDF,
stele Boseaks.and Ti-
tus *
Tie Gee
complete the circte in our attug-
ge against imperialism, tdbat-
tem and coloniaem.. ‘a
| Wurst esi gethat og Jog to
come to our sid. We must not be -
Za demoraiieed iby the MPC who, :
' 1@lgim to bring about peace.end)","set us anexample, andthe ques-tion for us is ‘where is dur UDF,stele",lgim to bring about peace.end
19851018,19851018,peace,Peace.19851018_page_1.txt,1,"Ba ao

i. ed i

wegen

ee save

weg hate

ate y4qes ad: bed, bay

tun wrong we | he
dares . a, One people - o. rs rhe ats fogs . saver

rOMTeDTE nites yD ee eee tas pe or 3 aeee
vate etaietal ‘a pbk wt : Bastia; Sein sathiisndiitnis pects

s Bir geka

ae watt

as

a Reinet enc
qs Meeebeaiets sie. SErL od! TUT AT Toe ve oo :
“es wQue Tl a coweunne ’

| os cae
we se nic lh ZYPRERER HEE"" Sl | Han
ie"" typrpye hes r ariel tres vyre . : eyinet ""
a is TAM att sms | 1 ee

@,423 78
3",Ba ao,"TAM att sms | 1 ee@,423 78"
19851122,19851122,peace,Peace.19851122_page_1.txt,1,"create a situation r
ue ‘divided among oury
. eo eentsieas .",create a situation rue ‘divided among oury. eo eentsieas .,ed among oury. eo eentsieas 
19851129a,19851129,peace,Peace.19851129a_page_1.txt,1,,,
19851129b,19851129,peace,Peace.19851129b_page_1.txt,1,"Gea tH

pai
i

fr sens pele

oh ue e things have been thi

ce sinee the interim gov

i ng. Soh

| ie iter eweemmmese as Of:
we rai Aas 7 a rat ena
were | ia country

{ i Namibians paiilence, , why don’t they impie-
covet mene lution 435. We know

in
have been detai ed oh at the aim is to delaythe
tho! cuenta se of Namibia.

series nights ee ‘We still rane the implementation:

‘of Resolution 435, Away with i
“or ‘delaying our independence,
- ee air beeen ane",Gea tH,"dependence,- ee air beeen an"
19851206,19851206,peace,Peace.19851206_page_1.txt,1,"vein eta caieaiong.
which says ‘Meeting in Africa,

dia in which President nald Re
gan and his Secretary of State, Mr
George Schultz, revealed they
and support the rebels, as South
Africahasconfirmed thatit supports,

aS

= SS ————— =

ie SS

Renamowithfoodandammunition,

inorder to stageacoup onthe Frell-
mo and MPLA Governments.
af the Georgehave declare the world, i Ronald

| = ot bye 7

between Gonthier Renan
challenged —

Geneva, Reagan ope
Gorbachev with 2 oe ‘for
Unita. Peer Ae a

i = Dafe : ; al
7

Hal deci Nea

aide seual

trou ithe So
ores, which i

Ss
=o.

Hah i orm
ae Set sig ult th sy they hay ya ih

Kt

{ |
4 sl i ot acy i
‘adi

HS ANAT ' sh lia wt Aa Hh
| aod thi the jateae sacing tie! |
a eae

ve ‘ita,

_——
a

J ll "" 1

' lye 7 hi
Juana

se TE
that. TS

atl ay 7 | | vi","which says ‘Meeting in Africa,",that. TSatl ay 7 | | vi
19851220a,19851220,peace,Peace.19851220a_page_1.txt,1,"ef

7 ihe
bsepptiesiad

t
5 nf

ai ats
i

”
AA A AN ERO *
ENTER DBAS,

LAA PER a,
NR te
erate

533 $43
Bseest

nt

ae

44

= a Ee

s}
TY
3

ost
i

: : et

lt
ie

itanete
| rt ;
econ
st eet
tyne

aural

Y
4

‘
‘

:

yi
Kin
:

l
in
Hid

‘
it
it
ay '
ye
i

i
L
fit st
i
Matt
i oe

‘ 4 a
SE",ef,Lfit stiMatti oe‘ 4 aS
19851220b,19851220,peace,Peace.19851220b_page_1.txt,1,"ftmas messages from churé

8 -Kauluma of the

~ giz in both church and socie-

to pray that the ‘ongoing destruc-
tive war be brought to an end, and
that peace, justice and unity be
restored to our divided people and to
our country’.

In his Christmas message, the
Bishop added that although during
the past two years some areas of the
country had good rains, ‘we must still
unite in unceasing prayer for rain so
that our lands may produce enough
food and that we may be saved from

- the tragedy of hunger and drought’.

The Bishop added that Christmas

* ‘revived our own longing for endur-

: ing peace among our people and in
ys our war-torn community’.

we. SMemust also remember to thank

age fox all the good things He has

sand for His protection in

the midst of all the dangers of war.
We thank him for the growth and
courage he has given to His Church
against the forces of evil which con-

Bishop Kauiuma

tinue to destroy human lives and the
good natural resources of our coun-
try. Pray that this dangerous situa-
tion may be brought to an end’,

IN HIS CHRISTMAS. mesa

Namibia, he hoped the yeay 20
would be the year which will ‘gates
our freedom and establish ju: ce ie,
this country’. |
‘In his love God is always on. the
move to serve, to accept and to bé
with that which He liberated from -
sin. But theproblemis with theman, - |
who estranged himself from God, :
Our society, with a lot of
apartheid, discrimination, ki
and perpetrual «slavery, ir
clearly that it has estranged. ""
from God, but the message. t

is the one who has bee sewed '

his/her sins invests in forgives
working for justice again
peace against war,",ftmas messages from churé,stice againpeace against war
19860117,19860117,peace,Peace.19860117_page_1.txt,1,"and disunity because of people who
want to participate in the peace talks.

It is not good for a strong
Organisation like Swapotoimprison
people who want to talk. Swapo are
losing a lot of support by that kind
of action. Let the people come and
talk, who don’t Want to be a part of
Swapo anynioré. Swapo will not lose

but will only come out benérandit
will show a just organisation.

I feel that it is time to stand
together and show the world that
Namiblans want feal freedom. We
must cast out the people who don’t
want the same as us.

I feel it is time for our leaders to
come to Namibia so the people can
see them again, because only a few
know them anymore, This will make
the people strong again..

Let us not listen to the stories |
anymore. Let us make our prothises —
good,

F INYONDO
ONDANGWA_

- WRITE TO THE NAMIBIAN a.
ft F O-Box 20783 Windhoek 9000. _",want to participate in the peace talks.,F O-Box 20783 Windhoek 9000. 
