id,date,theme,name,page_id,content_v3,potential_heading,potential_note
19860207a,19860207,tax,Tax.19860207a_page_1.txt,1,"VIS

I WOULD like to address this letter
to both Enok and SWABC.-TV.

Tam doing this because both these
corporations are competing with the
private sector while at thesametime
they enjoy the taxpayer's financial
security.

Both Radio and TV are competing
with private sector advertising
media. Why should they take the
money which rightfully belongs to
the newspapers?

Secondly, why should Enok, the
development corporation, have to
compete with the private sector in
things like wholesalers and garages,
butcheries and so on? There are
many Namibian businessmen who
are capable of running such
businesses.

Instead Enok should be concen-
trating on building factories that will
produce commodities which are
presently imported from South
Africa. This country has no fac-

Corporations compete with private sector

tories, most items are bought from
South Africa. If the Corporation
would start building factories there
would be more yob opportunities in
Our country and things could be
manufactured here. In this way,
things would cost less, and the slogan
‘Investin Namibia, Buyin Namibia’
would become a reality.

Isn't it the job of the interim
government Cabinet to pass such a
bill, instead of a billon stock theft?
Why should the Cabinet evade the
real issues? The label, ‘Made in
Namibia’, should become a fact.

Why does the Cabinet make the
theft of diamonds acrime and yet let
CDM drain the country of diamonds
atthe same time? Rossing, TCL and
Other mining companies are doing
the same.

Why can Namibian towns be built
up like Johannesburg? If the wealth
of Namibia was evenly distributed,
the poorest man in the country

should be living ina house like those
in Arandis.

What 1s the problem with the
‘Cabinet’? Are you really ministers
or just socalled? Our country is be-
ing bled, do something now for
tomorrow may be too late.

Remember: minerals don't breed.

CONCERNED NAMIBIAN
OKAHAO

PLEASE PUBLISH thisletterinthe

paper for the people.
Those of us in the lower income

group in Swakopmund who live

below the breadline, fell victim.to -

somewhat unbearable conditions at
the state clinic in Tamariskia
township, the only government clinic
here for black or mlxed-race
Namibians.

Swakop clinic

B ZBREEgees",VIS,Swakop clinicB ZBREEgees
19860207b,19860207,tax,Tax.19860207b_page_1.txt,1,"Hard-hitting questions fro

IN THE LIGHT of the fact that our
Coloured schools have been in the
news jately, I have a number of
questions.

Myself and other parents looked
forward to secing what the pass
percentages were of matriculants last
year. Now | must read in a local
newspaper that, according to the Ad-
ministration for Coloureds, these
figures are a secret. How onearthcan
the percentage passes be kept a
secret?

As a Coloured taxpayer, I appeal
to Mr Billy Phillips, Chairman ofthe
Executive Committee and member
charged with Education, to make
known this figure, as well as that of
the Standard Eights for last year.

Recently there have also been
many reports that the Coloured
schools in Khomasdal are full and
that hundreds of students are sent
home. According to Mr Koopman,
Director of Education, the situation
is to be ascribed to the following:

* many parents have moved from
rural areas to Windhoek

* parents whose children-were last
year in South Africa, are now at
schools in Windhoek

* Coloureds in South Afnca, who
by virtue of present conditions there,
send their children to Windhoek
schools.

These reasons are correct, but Mr
Koopman forgot to mention the
mostimportant one, namely the fact
that children from Katutura are
streaming into Khomasdal schools.

{am notasupporter of apartheid.
not in the least. ] am saving these
things in the light of the apartheid
kingdom (AG 8) which the Labour
Party of Mr Dawid Bezuidenhout
and Mr Billy Phillips and company,
accepted, and according to which
they govern.

If people accept acertain govern:
ment system, then they should
govern according to the letter and
spirit of it, and not mercly in accor-

ON OS at Be ee

dance with those parts which suit
them.

In accordance with Proclamation
AG 8, the personal tax of each tax-
payer is paid to the second tier
authority of the population group of
which he is a member. A certain por-
tion of that tax is used for education.
| am sure that the greatest percentage
of the Coloured budget 1s spent on
education. In other words, the bulk
of the taxpayer’s money is spent on
education.

In the fight of this, Mr Phillips
should reply immediately to the
following questions:

* Why are hundreds of black
children allowed in our schools,
while our own children are sent
home?

* Do the parents of black children
pay taxes to the Coloured
Administration?

If the answer is yes, then I would
like to know what these parents pay.

Once again I wish to say that | am

strongly opposed to any form of
apartheid but I want toprovethat AG
8, which Mr Phillips and Company
accepted, is not implementable, and
our concern is because our children
are losing out educationally.

In a radio interview, Mr Burden,
Rector of the Khomasdal training
college, said that 40 percent fewer
students had been accepted at the
College this year. 1 further hear that
most of the students come from
South Africa and other ethnic
groups.

}call upon Mr Phillips to give us
these figures too. How many
students are from South Africa and
other ethnic groups? ThenI wantto
know the costs of running the Col-
lege per annum.

Mr Phillips must also tell us why
it is necessary to have an apartheid
coliege near to the Academy? Is ita
question of his imitating his white
apartheid brothers?

Year after year we must hear how

m a Khomasdal taxpayer

teachers are imparted from South
Africa and placed in senior posts,
while our own teachers with equal or
higher quatifications are overlook-
ed. With respect to the ‘imported’
teachers, I must say that some of
them are the weakest teachers, who
have said they could not get jobs in
South Africa, but here they are given
senior posts.

I want 10 ask Mr Phillips why he
has made our schools, the rubbish
heap of South African teachers?

The only way out of this govern-
ment system (AG 8), which is accep-
table tono one but the leaders of the
Coloured Labour Party, is to scrap it
in its totality. Let the true political
leaders, and not the ‘yes-boss’ types
and political opportunists, work out
a system which is acceptable to the
people of this country.

TAXPAYER
KHOMASDAL

Tn OO
(T9005 BA RODD OCT UE

LDaiult af the",Hard-hitting questions fro,(T9005 BA RODD OCT UELDaiult af the
19860228,19860228,tax,Tax.19860228_page_1.txt,1,"oe i ana i eee -f | prcdyt

Preserving the
Status quo

THERE CAN BE no pretense. There
can be no cover up. Moses Kat
jluongualsacollaborator Heas net
only a member of the MIPC
machinery set up by the South
Afnean Government, the most ar-
ticulate member of a ( abinet Pro.
tected by the South African army and
IS Secret services, buthe also prevents
people from peacefully registering
their resection of South Aftican col,
omalhism and oppresuen.

AU a recent press conterence be
said ‘to give peopic treedom is notte
give them heenee to turn against the
State. These fateful words ts dN pie
proot, not only of the extent and
depth of his collaboration, but the
fact that he is no nationalist but a
mere feachionary.

However devious his rhetoric, his
capability to ‘capture the imagina-
tion of the majority of the popula-
tion’ has been reduced to vero rf it
ever existed at all. For to bea fnend

of the stateisto bea triend of tvran-
ny, brutahity, violence, Oppression
and symilar vices.

The fact that the South Afnean
rule in this country 1s illegal, her in-
struments, the Admpnistrator
General, armed forces and national
assembly must also be without
legitimacy

Nonetheless, Mr Katyiuongua sees
It fil to State that ‘we must be seen to
be doing the work we said we would
do for the people of this country, and
we must jusufy taxpavers money. He
even finds 1t necessary to attempt the
propaganda that ‘the transitional
government has committed itself to
changing the country to makett bet-
ter for its people’

The laws that Moses Kaljiuongua
holds are the laws that virtually the
whole Namibian population has
dismissed as oppressive and immoral
and have fought since the orjgin of
our political struggle and earlier

Surely poltical stability means
preservation of the status quo. Any
change brought about by the Cabinet
will be of the type that fits wath the
grand designs and strategies of South
Africa to retain control of our land
and its resources.

Katjiuongua deprives peace:
loving men and women to make their
grievances heard in a peaceful way
-nd asks these people to surrender
(heir genuine aspirations for 1ustice,
neace and freedom im favour of
docile acceptance ol laws which are
an abathema to them wileres! ial
wellbemns.

In case the lighl. cducated
Cabinet member docs not knows it,
peacefulcampangns and CIN ES UIELPO St
are not the same thing.

WERNER THTIEAISA
WINDHOEK

Mote: Thisletier has been shortened.

-qemes coor eee ee TTL TT

i
|

Cpa
pals",oe i ana i eee -f | prcdyt,r eee ee TTL TTi|Cpapal
19860327,19860327,tax,Tax.19860327_page_1.txt,1,"Perhaps they have for
the smaller towns like Karir

_ ERNST EIRAB

Karibib forgotten
PEOPLE In Karirib are faced with
a serious problem and people in
Namibia should become aware of it.

As weall know, iob opportunities
are scarce in Namibia. Often it is seen
as an attempt on behalf of the
capitalists to force unemployed to
join the South African Defence
Force.

We are not ignorant and are not
going to make the same mistakes our
forefathers did.

In Karirib, many young men and
women are wandering around
jobless. Some of these stay at the
homes of their parents, and are forc-
ed to pay what we call Kopteks (rent)
which had already been paid by their
parents. Dog taxes are payable and if
one does not pay for his dog, he is
afraid the dog will be shot.

Sanitary conditions in the black
town are bad, and there are no taps
inthe houses, and only some of them
have electricity. Only those who
deposit. get electricity andthen have
to pay for the use of it, .

The superintendent never inspects
the black township.

The black town lacks a soccer field
and we are not allowed to usethe one
at the German private school. They
do not want us to have lessons in
those classes.

Recently police moved in to the
sompound and loaded OQvambo
speaking people into cars. There are
vther similar happenings.

The interim government claims to
be working for Namibians. Why
does it not do something about it?
often about",the smaller towns like Karir,omething about it?often abou
19860425,19860425,tax,Tax.19860425_page_1.txt,1,"Colonel Eimbeck reacts to opinions of Pastor Kameeta

YOU HAVE GIVEN Vice Bishop
Kameeta space in your newspaper to
voice his opinion. I request thesame
opportunity since you call yourself
achampion for freedom of specch.

Mr Kameeta claims that the in-
dependence of Namibia is an in-
alienableright, and that it isdemand-
ed without conditions attached. He
isright, but why does he, and his par-
ty, Swapo, refuse to acknowledge any
other political opinion in this de-
mand for independence?

Why doesn't Mr Kameeta use his
high office to ensure justice, peace
and freedom for every Namibian?
He is aware of the fact that Swapo
does not tolerate opposition. He
knows that everybody opposing
Swapo will be subject to arbitrary
punishment or even execution
without a fair trial. Mr Kameeta
should support the call made by The
Namibian on Swapo toensurea fair
hearing for those who are accused of
being spies for South Africa.

Mc Kameeta should be aware of
the fact that many political parties in
Nainibia have urged Swapoto be an
equal partner in their opposition to
South Africa. He should also know
that Swapo refuses to drop the adjec-

tive ‘sole and authentic represen.
tative of the people of Namibia’. Ms
Lister should inform Mr Kameeta of
what her experiences are concerning
this imposed status on Swapo. Mr
Kameeta, who has vowed to preach
love, peace and righteousness,
should bein the front to ensure that
every Namibia be granted the right
and the opportunity to work towards
independence of this country,

Mr Kameeta knows that Swapo
regards violence as the only viable
means of attaining independence tor
Namibia, but does he consider the
fact that the majority people inthis
country are peaceloving Christians
and thus prefer a negotiated
setdement?

Mr Kamecta calls for boycotts and
disinvestment and calls the potential
suffering of the majority of people
‘empty phrases’. Simultaneously this
Vice Bishop demands that ‘all peo-
ple must have the right to decent
housing, and bring up their famulics
incomfort and secunty. Free medical
care and hospitalisation must be pro-
vided for all, with special care for
senior citizens, mothers and small
children. The aged and disabled must
be fully cared for by the State’.

Has it occurred to Mr Kameeta
that toreign investment is vital to
achieve these aims? Mr Kameeta 1s
fully aware of the fact that Swapo
and the CCN regularly call on inter-
national financial support to
alleviate the plight of the people.
Why then should only his party and
Ws followers benefit from financial
aid and not the majority of the
people?

Will Mr Kameeta care to tell the
public how much he earns and how
much he pays in taxes? Will Mr
Kaniceta be prepared Co inform the
people ot this country about the
lnfestyde of those who profess to fight
tor independence and lberation
about their contribution towards the
alleviation of the suffering people in
the form of finangial contributions?

Can Mr Kamectainform the publicol

what he proposes should be dane to
obtain sufficient funds to attain what
all the people in Namibia desire?
Mr contention as that Swapo ts
guilty of the most atrocious
discrimination against people. Mr
Kameeta 1s actively engaged in
Swapo's political activities, this
makes him guilty of discriminating
aguinst his own people too. Accor-

ding to the Oxford dictionary,
discrimination means to ‘make a
distinction, to give unfair treatment,
especially because of prejudice’.
Swapo and Mr Kameeta call
everybody who does not compty with
their conditions and with their opi-
mons, collaborators, traitors, pup-
pets etc. Everybody who dares to
speak against Swapo is threatened
and intimidated. Every person who
docs not support Swapo is being
discriminated against. This 1s
definitely not what the majority of
Namibians willsupport, thisis what
the majoruyof the Namibians want
eradicated,

Mr Kameeta claims his fame and
right to speak about pohtical matters
on his arrestand detention. For any
law-abiding citizen, especaally for
devoted Christians, defiance of the
law isdetestable. If Mr Kamectaasa
Vice Bishop and even more as a
Swapo politician, was really con-
cerned about the welfare of the peo-
ple of this country and their in-
ahenable right to self-determunation,
he would have made positive con-
tributions and would not support an
organisation which sees only
violence as a means of achieving

whal they desire, namely, to take over
power of this country.

Mr Nujoma has declared more
than once that Swapo is not in-
terested in powersharing, but only in
power itself, During his recent pro-
paganda tour for Swapoin West Ger-
many, Mr Kameeta has proven that
he is against any form of opposition
to Swapo and that he disputes the
right of ficedom of speech of a Ger-
man citizen in his own country. With
this act added to his political antics
against the people of thiscountry, Mr
Kameeta has disqualified himself of
claiming to be i champion for
freedom, Justice and peace.

S EIMBECK

NOTE: S Eimbeck is a Colonel in
the South West African Police. He
is also attached to the Directorate
of the Security Secretariat of the
National Secunty Council ap-
pointed by the Cabinet of the in-
terim government. We would be in-
terested to hear him expound oa
the ‘experiences’ of G Lister con-
cerning the ‘sok and authentic’
status of Swapo. - Editor.",Colonel Eimbeck reacts to opinions of Pastor Kameeta,ic’status of Swapo. - Editor
19860530,19860530,tax,Tax.19860530_page_1.txt,1,"\
ul
n

Karibib complaints

[| AM CALLING on the socalled
interim government to direct their
attention to the following:

We, the people of Karibib, are
sick and tired of baasskap by the
whites. We cannot - accept
everything the white man tells us.

We are sick and tired of toilet
pots which are carried out by our
people in the black township. It is
a health hazard to both the carriers
and the local people.

Lots of diseases are caused by
this. We want the same toilets as
those used by the white man. We
want flush toilets. |

Karirib is one of the oldest places
in Namibia but it is not developed.
The houses are old and in a state
of collapse, Taps are closed down
and one has to walk a distance to
get water. White people are
- noufied if there are problems with
| Water supplies, but black people are
| not notified.

Why must we suffer like this?
Why must another human being
witha: different skin colour be
superior? . :

1 seriously request. the interim
government to use the taxpayer’s
‘money in a proper’ fh Se that
Karjbib is ri it of these int
socalled facilities, C per
school in Karibi D,
Municipality build ne
pata the od ses

: |
\ | u
WM hy i
f Is ncaa PO
a ‘ i Va ope ae A a il
7 OF all . . wo ! alTH|[P ct elle 1 Is |
vl aa age cdl ye sR Uli ea tg AI Taste ih ay
Q | : ii on g°0 ho Pen coy Sire J :
1 a il Wh HI lr n ye af lite ye “ili ty “lit '
healt alla bled F Le sige ae celles
Mahl ie cell ue ai eere Te ell Mesa tan Enc So
iy ee agile pith et dy Ec (eg
i
mM li ol ‘| i
1
i}

F ai iit “in if
lil SE ca PTE i lt eat i

Te ie iy if IP, | i l ""
Fy i i | i ali i

Fal :
I aq Ky i"" it Tides et ER le
i il Hoatltellill ‘i Mm ITs sill le ine al ir |
Halll ina hii i in | anh:
WT MCE eT TT tt tt rh eee

eo

li"" la",Karibib complaints,"eoli"" la"
19860627,19860627,tax,Tax.19860627_page_1.txt,1_2,"Migrants speak

MIGRANT labourers here al the
CDM Mine in Oranjemund were
| put on a pension sysiem m about ten
years ago, and there is some secrecy
about the pension system at the
mine.

Migrant labourers are told that
it is impossible to fix their pensions,
| and there are no statistics to show
f or record such employee's mon-
Ithly, yearly or contractual
deductions.

We are not told why it is im-
1 | oT nore to give these statistics.

_ There is no written tecord to
‘8 ; many
t the recruitment centre at C
| rad are not allowed to ri He

T to. work, a wher is
| agree that employees could be
guilty of crimes and expeiled, as
happens to many, but who gets
their pension?

Migrant labourers are taxed like
other permanent employees.

| appeal to those in management
to assist in solving these problems,
as the labourers have no other way
| in which to follow up the matter,
There is also the fear of being ex-
pelled if they reveal these matters.

- MIGRANT WORKER
| CDM ORANJEMUND

og Be Sen be rm -",Migrants speak,| CDM ORANJEMUNDog Be Sen be rm -
19860808,19860808,tax,Tax.19860808_page_1.txt,1_2,"Cleary replies
Dear Ms Lister |

| YOUR ‘Political Perspective’L
published on August 1 was a
remarkable piece of writing. There
are many points on which one
could comment; only one 1s,
however, of sufficient importance
to require a response. |
Neither I nor any part of the
consultancy service ‘favour’ one
Minister over another. This would
be wholly inconsistent with our
charge from the Cabinet. The con- ©
sultancy’s task is to make the goals, —
aspirations and achievements of the
Transitional Government known in
circles of influence abroad. We do
this to the best of our ability, with,
I believe, some degree of success.
ec fdtee EE | hh
‘the truth, we do, T assure you, try
_ to,do just that. You would make
""“agreater contribution to peace, in-

ve ait hy

lependence'and social progress in
| this country if The Namibian were
to do the same. He
; | — ode ll bes, beet pond ts
SEAN CLEARY
Director oe
Transcontinental Consultancy ,
WINDHOEK

Dear Mr Cleary

YOU too have done some ‘remarkable’
pieces of writing, most recently in
Leadership (Volume $ 1986 Number 2),
in which you measure the success of ihe
interim government by means of the
vague generaltsation of ‘inclusivity’.
This ‘government’, you say, seeks to in-
volve all parties and also to draw to
these same parties, the support
previously enjoyed by those outside it.

May we remind you that there are six
parties (some in name only) which en-
joy membership of the interim govern-
ment. Membership of ‘other parties’,
however minor their support, who have
shown interest in the interim govern-
ment, has been turned down, and I refer
in particular to the recent HNP request
for membership of the ‘Constitutional
Council’.

‘Inclusivity’, therefore, hardly seems
to be the goal of this interim
government,

You have not explained why the DTA
prefers to operate outside your con-
sultancy service, and it has been wide-
ly reported (not only in The Namibian)
that there has been a breakdown in
communication between yourself and
Mr Dirk Mudge, an interim government
miniMer you claim to represent,

What is perhaps of note, is your
— geference to the ‘Transitional Govern-

| ment’, rather than the ‘Government of

National Unity’, Even you can no-

longer claim that there is “unity” in their
ranks, any more than you can claim that
there is ‘consensus’ on the question of
AG 86 despite socalled mnanimnous

resolutions concerning the removal of —

ethnic and racial discrimination.

As to ‘marketing the truth’, I believe
bia does: just that ‘

“that The Na
whereas you are spending a lot of tax-
payer's money on marketing what !
believe is a myth - mamely, that an in-

terim government such as we have at

~ present, can never engendé r the support

of the people of this country as a whole.

We will continue to ‘market’ what we,

""| believe ds the true situation in this coun-
. pie of people want to

elude

r own representatives in free.

! it an wen

1
7

|",Dear Ms Lister |,7|
19861017,19861017,tax,Tax.19861017_page_1.txt,1,"At a standstill

I SHED tears to see the economy,
progress and education in the Caprivi
coming to a standstill because of Dr
J A G du Plessis, head of the In-
terdepartmental Committee for the
area.

He appears to have no definite
plans for developing the Caprivi.
{_' On Education, he has signed a con:
tract with the Academy to run socall.
ed formal education in the Caprivi
and has done away with LPTC, PTC
and JSTC courses, which were bet-
ter than ECP:
|. Water costs have been raised to
o8c per kilolitre;
|_] there is no electricity in the houses
of blacks: |
i» no housing allowances for workers
in Administration houses:
{| rentals have been raised:
(| taxes and raised and increased in
number and include Caprivi tax,
Levy tax, General tax, mail tax, Pay
As You Earn, and Sales Tax,

The situation should be reviewed.

WATCHOUT
KATIMA MULILO",At a standstill,iewed.WATCHOUTKATIMA MULIL
19861024,19861024,tax,Tax.19861024_page_1.txt,1,"More in rentals

MR NORA Chase was reported in
The Namibian of May 30 1986 as say-
ing that the residents of Katutura
alone pay more in rents than Ross-
ing pays in taxes. On June 4 1986 she
was reported elsewhere as saying
that Rossing pays only R50 (per year)
for the use of the land on which it
mines.

Ms Chase has been misinformed. In
fact the residents of Katutura have
paid a total of between R830 000 and
R900 000 per vear in rentals for the
past three years; during the same
period Rossing’s taxes have
amounted to hundreds of millions of
Rand.

The grant fee paid bv Rossing Mine
is R13 160 per vear, not R50.

These facts can be readily confirm-
ed by the relevant authorities.

CLIVE ALGAR
PUBLIC AFFAIRS MANAGER
ROSSING URANIUM LIMITED",More in rentals,ANAGERROSSING URANIUM LIMITE
